PONumber,Quantity,Dollars,Freight,total_item_quantity,total_item_dollars,avg_receiving_delay
12694,48,352.95,1.73,162,2476.9900000000002,6.296296296296297
9749,34773,225706.96,1196.25,34773,225706.96,8.04816112084063
12955,70,634.11,2.85,2357,26584.61,9.06338028169014
8383,104,987.34,4.64,104,987.34,7.0
10205,4314,31768.74,152.49,4314,31768.74,5.4543726235741445
12619,1965,22699.66,118.04,183,1812.77,10.0
12340,14554,89941.85,458.7,2287,28278.93,8.887804878048781
13409,2647,21465.16,113.77,1169,11816.12,7.191489361702128
12258,35,462.49,2.54,35,462.49,8.25
8497,83,2028.52,9.53,83,2028.52,10.666666666666666
12352,34936,478178.46,2390.89,6,214.26,7.0
12329,455,3230.07,15.5,178,1572.43,10.133333333333333
12967,227,2968.18,14.54,30,1307.1599999999999,8.0
10847,12037,83617.29,409.72,12037,83617.29,6.209988649262202
13257,7498,56106.29,286.14,128,1970.71,9.107142857142858
10271,23,197.8,1.09,23,197.8,9.0
8594,12895,126698.89,646.16,12895,126698.89,5.55860349127182
13413,3867,31581.13,161.06,30183,325820.26,6.129001883239171
11372,33291,448082.39,2464.45,33291,448082.39,8.089185695820767
8417,41,803.6,3.86,41,803.5999999999999,9.166666666666666
10095,215,2123.01,11.46,215,2123.01,5.0
8816,117,836.73,3.93,117,836.73,10.7
12492,286,2291.8,11.46,95,1508.19,6.6
12091,98,1715.64,7.72,98,1715.64,7.833333333333333
8649,6,136.32,0.72,6,136.32,10.0
12609,6586,51866.88,233.4,305,4267.81,5.0576923076923075
11840,107,822.22,3.86,107,822.22,10.222222222222221
13185,2459,24267.51,116.48,192,2010.84,8.4
8175,136,5645.24,218.18,136,5645.24,8.61111111111111
11121,1431,12727.34,70.0,1431,12727.34,5.269565217391304
12204,103,815.91,3.75,103,815.91,7.0
11021,225,1187.63,6.53,225,1187.6299999999999,4.85
9181,14855,170276.77,902.47,14855,170276.77,6.0
9527,466,4638.25,23.19,466,4638.25,10.317073170731707
12386,105,1485.9,8.02,28064,188234.39,5.947121034077556
12607,10850,113416.88,544.4,108,954.0,5.222222222222222
10775,63,472.0,2.36,63,472.0,8.833333333333334
11300,114609,1225680.18,6373.54,114609,1225680.18,6.0970715835141
9662,253,2006.55,10.23,253,2006.55,7.894736842105263
10584,1467,14348.83,67.44,1467,14348.83,7.158878504672897
8461,1516,15167.02,81.9,1516,15167.02,7.165354330708661
9681,121,3195.89,16.3,121,3195.89,7.642857142857143
